,target
259,False
260,False
261,True
262,True
263,True
264,False
265,True
266,True
267,False
268,True
269,False
270,True
271,False
272,False
273,False
274,False
275,True
276,False
277,True
278,False
279,False
280,True
281,False
282,False
283,False
284,True
285,False
286,False
287,False
288,False
289,True
290,False
291,False
292,True
293,False
294,True
295,False
296,False
297,False
298,False
299,True
300,False
301,True
302,False
303,False
304,False
305,False
306,True
307,False
308,True
309,True
310,False
311,False
312,False
313,False
314,True
315,False
316,False
317,True
318,False
319,True
320,True
321,False
322,True
323,True
324,True
325,False
326,True
327,False
328,True
329,False
330,False
331,False
332,False
333,False
334,False
335,False
336,False
337,False
338,False
339,True
340,True
341,False
342,True
343,True
344,True
345,False
346,True
347,False
348,True
349,True
350,False
351,False
352,True
353,True
354,True
355,False
356,False
357,True
358,True
359,False
360,False
361,False
362,True
363,False
364,False
365,False
366,True
367,True
368,False
369,False
370,True
371,True
372,False
373,False
374,False
375,False
376,False
377,False
378,True
379,False
380,False
381,True
382,False
383,True
384,False
385,False
386,False
387,False
388,True
389,False
390,False
391,False
392,False
393,False
394,False
395,False
396,False
397,False
398,False
399,True
400,True
401,False
402,False
403,True
404,True
405,True
406,True
407,False
408,False
409,True
410,False
411,True
412,False
413,False
414,True
415,False
416,False
417,False
418,False
419,True
420,True
421,False
422,False
423,False
424,True
425,False
426,True
427,False
428,False
429,True
430,False
431,True
432,False
433,True
434,False
435,False
436,False
437,False
438,False
439,False
440,False
441,True
442,False
443,False
444,False
445,False
446,False
447,False
448,True
449,True
450,True
451,False
452,False
453,False
454,False
455,True
456,True
457,True
458,False
459,False
460,True
461,False
462,True
463,False
464,False
465,False
466,False
467,True
468,False
469,False
470,False
471,True
472,False
473,False
474,False
475,True
476,False
477,False
478,False
479,True
480,True
481,False
482,False
483,True
484,False
485,False
486,False
487,False
488,False
489,False
490,False
491,True
492,True
493,False
494,False
495,True
496,False
497,False
498,True
499,False
500,False
501,False
502,False
503,False
504,True
505,True
506,False
507,False
508,True
509,True
510,True
511,False
512,False
513,False
514,True
515,False
516,True
517,False
518,True
519,False
520,False
521,False
522,True
523,False
524,False
525,True
526,False
527,False
528,False
529,False
530,True
531,False
532,True
533,True
534,True
535,False
536,False
537,False
538,False
539,False
540,True
541,False
542,False
543,True
544,True
545,True
546,False
547,True
548,True
549,False
550,False
551,False
552,False
553,False
554,False
555,False
556,False
557,True
558,False
559,True
560,False
561,True
562,False
563,False
564,False
565,False
566,False
567,True
568,True
569,False
570,True
571,False
572,True
573,False
574,False
575,False
576,True
577,False
578,False
579,True
580,False
581,False
582,True
583,False
584,False
585,False
586,False
587,False
588,False
589,True
590,False
591,False
592,False
593,True
594,False
595,False
596,False
597,False
598,False
599,True
600,False
601,False
602,False
603,True
604,False
605,False
606,False
607,False
608,False
609,False
610,False
611,False
612,True
613,False
614,False
615,False
616,False
617,False
618,False
619,False
620,False
621,False
622,False
623,False
624,True
625,True
626,False
627,True
628,False
629,False
630,False
631,False
632,False
633,False
634,False
635,False
636,False
637,False
638,True
639,False
640,False
641,True
642,True
643,False
644,False
645,False
646,False
647,False
648,False
649,False
650,True
651,False
652,False
653,True
654,True
655,False
656,False
657,False
658,False
659,False
660,False
661,True
662,False
663,False
664,False
665,True
666,False
667,True
668,False
669,False
670,False
671,False
672,False
673,True
674,True
675,True
676,True
677,False
678,False
679,False
680,False
681,False
682,False
683,False
684,False
685,True
686,False
687,True
688,False
689,False
690,True
691,True
692,False
693,False
694,False
695,False
696,True
697,False
698,False
699,False
700,False
701,True
702,False
703,True
704,True
705,False
706,False
707,False
708,False
709,False
710,False
711,False
712,False
713,True
714,False
715,True
716,False
717,False
718,False
719,False
720,True
721,False
722,True
723,False
724,True
725,True
726,False
727,True
728,False
729,False
730,False
731,False
732,True
733,False
734,False
735,False
736,True
737,False
738,False
739,False
740,False
741,False
742,False
743,False
744,False
745,False
746,True
747,True
748,False
749,True
750,False
751,False
752,True
753,False
754,False
755,True
756,False
757,True
758,False
759,False
760,False
761,False
762,True
763,False
764,True
765,False
766,True
767,False
768,False
769,False
770,False
771,False
772,True
773,False
774,True
775,False
776,False
777,False
778,False
779,False
780,True
781,False
782,False
783,True
784,False
785,False
786,False
787,False
788,False
789,False
790,False
791,True
792,True
793,False
794,False
795,True
796,False
797,False
798,False
799,True
800,False
801,True
802,False
803,True
804,False
805,False
806,False
807,False
808,True
809,False
810,False
811,False
812,False
813,True
814,False
815,False
816,False
817,True
818,False
819,False
820,False
821,False
822,True
823,False
824,True
825,False
826,True
827,True
828,True
829,True
830,True
831,False
832,False
833,True
834,False
835,True
836,False
837,True
838,False
839,False
840,False
841,False
842,False
843,False
844,False
845,True
846,False
847,False
848,True
849,True
850,True
851,True
852,False
853,False
854,False
855,True
856,True
857,True
858,False
859,False
860,False
861,False
862,False
863,False
864,True
865,False
866,False
867,False
868,False
869,True
870,False
871,False
872,True
873,True
874,False
875,False
876,True
877,False
878,True
879,False
880,False
881,False
882,True
883,False
884,False
885,True
886,True
887,True
888,True
889,False
890,False
891,False
892,True
893,False
894,False
895,True
896,False
897,False
898,True
899,True
900,False
901,False
902,False
903,False
904,False
905,True
906,False
907,False
908,False
909,False
910,True
911,False
912,True
913,False
914,False
915,False
916,False
917,False
918,False
919,False
920,False
921,True
922,True
923,False
924,False
925,True
926,False
927,False
928,False
929,True
930,False
931,False
932,False
933,False
934,False
935,False
936,True
937,True
938,False
939,False
940,False
941,True
942,True
943,False
944,False
945,False
946,False
947,True
948,True
949,True
950,True
951,False
952,False
953,False
954,True
955,False
956,False
957,False
958,False
959,False
960,True
961,False
962,True
963,True
964,True
965,False
966,False
967,False
968,False
969,True
970,False
971,False
972,False
973,False
974,False
975,True
976,False
977,False
978,False
979,False
980,False
981,False
982,False
983,False
984,True
985,False
986,True
987,False
988,False
989,True
990,False
991,True
992,False
993,False
994,False
995,False
996,False
997,False
998,False
999,False
1000,False
1001,True
1002,False
1003,True
1004,True
1005,True
1006,False
1007,False
1008,False
1009,False
1010,False
1011,False
1012,False
1013,True
1014,True
1015,False
1016,False
1017,False
1018,False
1019,False
1020,True
1021,True
1022,False
1023,True
1024,True
1025,True
1026,False
1027,True
1028,True
1029,False
1030,True
1031,False
1032,False
1033,False
1034,False
1035,False
1036,False
1037,False
1038,False
1039,True
1040,False
1041,True
1042,False
1043,True
1044,False
1045,False
1046,True
1047,False
1048,False
1049,True
1050,True
1051,True
1052,False
1053,False
1054,True
1055,False
1056,False
1057,True
1058,False
1059,False
1060,False
1061,False
1062,False
1063,False
1064,False
1065,True
1066,False
1067,True
1068,False
1069,True
1070,False
1071,False
1072,False
1073,False
1074,True
1075,True
1076,False
1077,True
1078,True
1079,True
1080,True
1081,False
1082,True
1083,False
1084,False
1085,False
1086,False
1087,False
1088,False
1089,True
1090,False
1091,False
1092,True
1093,False
1094,True
1095,True
1096,False
1097,False
1098,False
1099,False
1100,False
1101,False
1102,False
1103,True
1104,False
1105,True
1106,False
1107,False
1108,True
1109,False
1110,True
1111,False
1112,False
1113,False
1114,True
1115,False
1116,False
1117,False
1118,False
1119,True
1120,True
1121,True
1122,True
1123,True
1124,False
1125,True
1126,True
1127,True
1128,False
1129,False
1130,False
1131,False
1132,True
1133,False
1134,True
1135,False
1136,True
1137,True
1138,False
1139,True
1140,False
1141,True
1142,False
1143,False
1144,False
1145,False
1146,True
1147,False
1148,False
1149,False
1150,True
1151,False
1152,False
1153,False
1154,True
1155,False
1156,False
1157,True
1158,False
1159,True
1160,False
1161,True
1162,False
1163,False
1164,True
1165,False
1166,False
1167,False
1168,False
1169,False
1170,False
1171,False
1172,True
1173,False
1174,False
1175,False
1176,True
1177,False
1178,True
1179,False
1180,False
1181,True
1182,True
1183,False
1184,False
1185,True
1186,True
1187,False
1188,True
1189,True
1190,False
1191,False
1192,True
1193,False
1194,True
1195,False
1196,False
1197,False
1198,False
1199,True
1200,False
1201,False
1202,False
1203,False
1204,True
1205,True
1206,False
1207,False
1208,False
1209,False
1210,True
1211,False
1212,False
1213,False
1214,True
1215,False
1216,True
1217,False
1218,True
1219,True
1220,True
1221,True
1222,False
1223,False
1224,False
1225,True
1226,False
1227,False
1228,False
1229,False
1230,True
1231,False
1232,False
1233,True
1234,True
1235,True
1236,False
1237,False
1238,False
1239,False
1240,False
1241,False
1242,False
1243,True
1244,False
1245,True
1246,False
1247,True
1248,False
1249,True
1250,False
1251,False
1252,False
1253,False
1254,False
1255,True
1256,True
1257,False
1258,False
1259,False
1260,False
1261,True
1262,False
1263,False
1264,True
1265,True
1266,False
1267,False
1268,True
1269,True
1270,False
1271,False
1272,True
1273,True
1274,False
1275,True
1276,True
1277,False
1278,False
1279,True
1280,False
1281,False
1282,True
1283,True
1284,True
1285,False
1286,False
1287,False
1288,True
1289,True
1290,False
1291,False
1292,False
1293,False
1294,True
1295,True
1296,False
1297,True
1298,True
1299,False
1300,True
1301,True
1302,False
1303,True
1304,False
1305,False
1306,False
1307,False
1308,False
1309,True
1310,True
1311,False
1312,False
1313,False
1314,True
1315,True
1316,True
1317,False
1318,False
1319,True
1320,True
1321,True
1322,False
1323,False
1324,False
1325,False
1326,False
1327,False
1328,False
1329,False
1330,False
1331,False
1332,False
1333,False
1334,False
1335,False
1336,False
1337,False
1338,True
1339,False
1340,False
1341,False
1342,False
1343,False
1344,False
1345,False
1346,False
1347,True
1348,False
1349,True
1350,False
1351,True
1352,False
1353,False
1354,False
1355,True
1356,False
1357,True
1358,True
1359,True
1360,False
1361,False
1362,False
1363,False
1364,False
1365,True
1366,False
1367,True
1368,True
1369,False
1370,False
1371,False
1372,False
1373,True
1374,False
1375,False
1376,False
1377,False
1378,False
1379,True
1380,True
1381,False
1382,False
1383,True
1384,False
1385,False
1386,True
1387,False
1388,True
1389,False
1390,True
1391,False
1392,False
1393,False
1394,False
1395,False
1396,False
1397,False
1398,True
1399,False
1400,False
1401,True
1402,False
1403,False
1404,False
1405,False
1406,True
1407,False
1408,False
1409,False
1410,False
1411,False
1412,True
1413,False
1414,True
1415,False
1416,False
1417,False
1418,False
1419,False
1420,True
1421,False
1422,False
1423,False
1424,True
1425,False
1426,False
1427,True
1428,False
1429,False
1430,True
1431,True
1432,True
1433,True
1434,False
1435,True
1436,True
1437,True
1438,True
1439,True
1440,False
1441,True
1442,False
1443,False
1444,False
1445,False
1446,False
1447,True
1448,False
1449,True
1450,False
1451,True
1452,False
1453,False
1454,False
1455,False
1456,True
1457,False
1458,False
1459,False
1460,False
1461,False
1462,False
1463,False
1464,True
1465,False
1466,False
1467,True
1468,False
1469,True
1470,False
1471,False
1472,False
1473,False
1474,False
1475,False
1476,True
1477,False
1478,False
1479,True
1480,True
1481,False
1482,True
1483,False
1484,False
1485,False
1486,False
1487,False
1488,True
1489,False
1490,False
1491,True
1492,True
1493,False
1494,False
1495,False
1496,True
1497,True
1498,False
1499,False
1500,False
1501,False
1502,True
1503,False
1504,True
1505,True
1506,False
1507,False
1508,False
1509,False
1510,False
1511,True
1512,True
1513,False
1514,False
1515,True
1516,False
1517,False
1518,False
1519,True
1520,False
1521,False
1522,False
1523,False
1524,True
1525,False
1526,True
1527,False
1528,True
1529,True
1530,False
1531,True
1532,False
1533,False
1534,False
1535,False
1536,False
1537,False
1538,False
1539,False
1540,False
1541,False
1542,True
1543,False
1544,False
1545,False
1546,False
1547,False
1548,False
1549,False
1550,False
1551,False
1552,False
1553,False
1554,False
1555,True
1556,True
1557,False
1558,False
1559,True
1560,True
1561,True
1562,True
1563,False
1564,False
1565,False
1566,False
1567,True
1568,False
1569,False
1570,True
1571,False
1572,True
1573,True
1574,False
1575,False
1576,False
1577,True
1578,True
1579,False
1580,False
1581,False
1582,False
1583,False
1584,False
1585,False
1586,True
1587,False
1588,False
1589,False
1590,True
1591,False
1592,False
1593,False
1594,False
1595,True
1596,True
1597,False
1598,False
1599,False
1600,False
1601,False
1602,True
1603,False
1604,True
1605,False
1606,False
1607,False
1608,False
1609,True
1610,False
1611,False
1612,False
1613,True
1614,False
1615,True
1616,False
1617,True
1618,False
1619,True
1620,True
1621,False
1622,True
1623,False
1624,True
1625,False
1626,False
1627,False
1628,True
1629,False
1630,False
1631,True
1632,False
1633,True
1634,True
1635,False
1636,False
1637,False
1638,False
1639,False
1640,True
1641,True
1642,True
1643,True
1644,False
1645,False
1646,False
1647,True
1648,True
1649,False
1650,False
1651,False
1652,False
1653,False
1654,False
1655,True
1656,False
1657,True
1658,False
1659,False
1660,False
1661,True
1662,False
1663,False
1664,False
1665,False
1666,False
1667,False
1668,False
1669,False
1670,False
1671,False
1672,True
1673,False
1674,True
1675,True
1676,True
1677,False
1678,True
1679,True
1680,False
1681,False
1682,False
1683,False
1684,False
1685,False
1686,True
1687,False
1688,False
1689,True
1690,False
1691,True
1692,False
1693,True
1694,True
1695,False
1696,False
1697,False
1698,False
1699,True
1700,False
1701,False
1702,False
1703,False
1704,True
1705,True
1706,False
1707,False
1708,False
1709,False
1710,False
1711,False
1712,False
1713,True
1714,False
1715,False
1716,False
1717,False
1718,False
1719,False
1720,False
1721,False
1722,False
1723,False
1724,True
1725,False
1726,False
1727,False
1728,False
1729,False
1730,False
1731,False
1732,False
1733,False
1734,False
1735,False
1736,False
1737,False
1738,False
1739,False
1740,True
1741,False
1742,True
1743,False
1744,False
1745,True
1746,False
1747,True
1748,False
1749,False
1750,True
1751,True
1752,True
1753,False
1754,False
1755,False
1756,True
1757,False
1758,True
1759,False
1760,True
1761,True
1762,False
1763,False
1764,True
1765,True
1766,False
1767,True
1768,False
1769,False
1770,False
1771,True
1772,True
1773,False
1774,False
1775,True
1776,True
1777,False
1778,False
1779,False
1780,False
1781,False
1782,True
1783,False
1784,False
1785,False
1786,True
1787,False
1788,False
1789,True
1790,False
1791,False
1792,False
1793,False
1794,False
1795,False
1796,False
1797,True
1798,False
1799,False
1800,True
1801,False
1802,True
1803,True
1804,False
1805,False
1806,False
1807,True
1808,False
1809,False
1810,True
1811,True
1812,False
1813,True
1814,False
1815,False
1816,True
1817,True
1818,False
1819,True
1820,True
1821,True
1822,True
1823,True
1824,True
1825,False
1826,False
1827,False
1828,True
1829,True
1830,True
1831,True
1832,True
1833,False
1834,True
1835,False
1836,False
1837,False
1838,False
1839,False
1840,True
1841,True
1842,False
1843,True
1844,False
1845,False
1846,False
1847,False
1848,False
1849,False
1850,False
1851,True
1852,True
1853,False
1854,False
1855,False
1856,True
1857,True
1858,False
1859,False
1860,True
1861,False
1862,False
1863,True
1864,True
1865,False
1866,False
1867,True
1868,False
1869,False
1870,False
1871,False
1872,True
1873,True
1874,False
1875,True
1876,True
1877,True
1878,False
1879,False
1880,True
1881,False
1882,True
1883,False
1884,False
1885,False
1886,False
1887,False
1888,False
1889,True
1890,False
1891,False
1892,False
1893,False
1894,True
1895,False
1896,False
1897,False
1898,True
1899,False
1900,False
1901,False
1902,False
1903,False
1904,False
1905,False
1906,True
1907,True
1908,False
1909,False
1910,True
1911,False
1912,False
1913,False
1914,False
1915,False
1916,False
1917,True
1918,False
1919,True
1920,False
1921,True
1922,True
1923,True
1924,True
1925,True
1926,True
1927,False
1928,True
1929,False
1930,False
1931,False
1932,True
1933,False
1934,False
1935,True
1936,False
1937,False
1938,False
1939,False
1940,False
1941,False
1942,True
1943,False
1944,False
1945,False
1946,False
1947,False
1948,False
1949,False
1950,False
1951,False
1952,False
1953,False
1954,True
1955,False
1956,False
1957,False
1958,False
1959,True
1960,False
1961,False
1962,False
1963,False
1964,False
1965,False
1966,False
1967,False
1968,True
1969,False
1970,False
1971,False
1972,False
1973,False
1974,False
1975,True
1976,False
1977,False
1978,False
1979,False
1980,False
1981,False
1982,False
1983,True
1984,False
1985,False
1986,False
1987,False
1988,False
1989,True
1990,False
1991,False
1992,False
1993,False
1994,False
1995,True
1996,True
1997,False
1998,False
1999,False
2000,False
2001,True
2002,True
2003,True
2004,True
2005,False
2006,False
2007,False
2008,False
2009,False
2010,False
2011,True
2012,True
2013,True
2014,True
2015,True
2016,True
2017,False
2018,False
2019,True
2020,True
2021,False
2022,False
2023,True
2024,True
2025,True
2026,True
2027,True
2028,False
2029,False
2030,True
2031,False
2032,False
2033,True
2034,False
2035,False
2036,True
2037,False
2038,True
2039,False
2040,False
2041,False
2042,False
2043,True
2044,False
2045,True
2046,False
2047,True
2048,False
2049,True
2050,False
2051,False
2052,True
2053,False
2054,False
2055,False
2056,True
2057,False
2058,False
2059,False
2060,True
2061,False
2062,True
2063,False
2064,False
2065,False
2066,True
2067,False
2068,False
2069,False
2070,False
2071,True
2072,False
2073,False
2074,True
2075,False
2076,True
2077,True
2078,False
2079,False
2080,False
2081,False
2082,True
2083,False
2084,True
2085,False
2086,True
2087,True
2088,False
2089,True
2090,True
2091,True
2092,False
2093,True
2094,False
2095,False
2096,False
2097,False
2098,False
2099,False
2100,True
2101,False
2102,False
2103,True
2104,False
2105,False
2106,False
2107,True
2108,True
2109,False
2110,False
2111,False
2112,False
2113,False
2114,True
2115,False
2116,True
2117,True
2118,False
2119,True
2120,False
2121,False
2122,False
2123,False
2124,False
2125,True
2126,True
2127,True
2128,False
2129,False
2130,False
2131,False
2132,True
2133,True
2134,False
2135,True
2136,False
2137,False
2138,False
2139,True
2140,False
2141,False
2142,False
2143,True
2144,True
2145,False
2146,False
2147,True
2148,False
2149,True
2150,False
2151,False
2152,False
2153,False
2154,False
2155,True
2156,True
2157,True
2158,True
2159,False
2160,True
2161,True
2162,False
2163,True
2164,False
2165,False
2166,True
2167,False
2168,False
2169,False
2170,False
2171,False
2172,False
2173,False
2174,False
2175,True
2176,False
2177,True
2178,False
2179,True
2180,False
2181,True
2182,False
2183,True
2184,True
2185,False
2186,False
2187,False
2188,False
2189,False
2190,False
2191,False
2192,False
2193,True
2194,False
2195,True
2196,True
2197,False
2198,False
2199,False
2200,True
2201,False
2202,False
2203,True
2204,False
2205,True
2206,True
2207,False
2208,False
2209,False
2210,False
2211,True
2212,False
2213,False
2214,True
2215,True
2216,True
2217,False
2218,False
2219,False
2220,True
2221,True
2222,False
2223,False
2224,False
2225,False
2226,False
2227,True
2228,True
2229,False
2230,True
2231,False
2232,True
2233,True
2234,False
2235,False
2236,False
2237,False
2238,True
2239,False
2240,True
2241,False
2242,False
2243,False
2244,False
2245,True
2246,False
2247,True
2248,False
2249,False
2250,False
2251,False
2252,False
2253,False
2254,False
2255,False
2256,False
2257,True
2258,False
2259,False
2260,False
2261,True
2262,True
2263,False
2264,False
2265,False
2266,True
2267,False
2268,True
2269,True
2270,True
2271,True
2272,False
2273,False
2274,False
2275,False
2276,True
2277,False
2278,False
2279,False
2280,False
2281,False
2282,True
2283,False
2284,False
2285,False
2286,False
2287,False
2288,True
2289,False
2290,False
2291,False
2292,True
2293,False
2294,False
2295,False
2296,True
2297,False
2298,True
2299,False
2300,True
2301,False
2302,False
2303,False
2304,True
2305,True
2306,False
2307,True
2308,False
2309,False
2310,False
2311,False
2312,False
2313,False
2314,False
2315,False
2316,True
2317,False
2318,False
2319,False
2320,True
2321,False
2322,False
2323,False
2324,True
2325,True
2326,False
2327,False
2328,True
2329,True
2330,False
2331,True
2332,True
2333,False
2334,True
2335,False
2336,False
2337,False
2338,True
2339,True
2340,True
2341,False
2342,True
2343,False
2344,False
2345,False
2346,False
2347,True
2348,False
2349,False
2350,True
2351,True
2352,False
2353,True
2354,False
2355,False
2356,False
2357,False
2358,False
2359,True
2360,False
2361,True
2362,False
2363,True
2364,False
2365,False
2366,False
2367,True
2368,False
2369,False
2370,True
2371,False
2372,False
2373,True
2374,False
2375,False
2376,False
2377,False
2378,True
2379,True
2380,False
2381,False
2382,False
2383,False
2384,False
2385,False
2386,False
2387,False
2388,True
2389,True
2390,False
2391,True
2392,False
2393,True
2394,False
2395,False
2396,False
2397,True
2398,False
2399,True
2400,False
2401,False
2402,False
2403,True
2404,False
2405,False
2406,False
2407,False
2408,False
2409,False
2410,False
2411,False
2412,False
2413,True
2414,False
2415,False
2416,False
2417,False
2418,False
2419,True
2420,False
2421,False
2422,False
2423,False
2424,False
2425,False
2426,False
2427,False
2428,True
2429,False
2430,True
2431,True
2432,True
2433,False
2434,False
2435,False
2436,False
2437,False
2438,False
2439,False
2440,True
2441,False
2442,False
2443,False
2444,False
2445,False
2446,True
2447,True
2448,True
2449,False
2450,False
2451,True
2452,True
2453,False
2454,False
2455,True
2456,False
2457,False
2458,False
2459,False
2460,False
2461,False
2462,False
2463,False
2464,True
2465,True
2466,False
2467,False
2468,True
2469,False
2470,False
2471,False
2472,True
2473,False
2474,False
2475,False
2476,False
2477,False
2478,True
2479,False
2480,False
2481,False
2482,False
2483,False
2484,False
2485,False
2486,False
2487,True
2488,False
2489,True
2490,True
2491,False
2492,False
2493,True
2494,False
2495,True
2496,False
2497,True
2498,False
2499,True
2500,True
2501,False
2502,False
2503,False
2504,False
2505,True
2506,False
2507,False
2508,True
2509,True
2510,True
2511,False
2512,False
2513,False
2514,True
2515,False
2516,True
2517,True
2518,True
2519,False
2520,False
2521,True
2522,False
2523,True
2524,True
2525,True
2526,True
2527,False
2528,True
2529,False
2530,False
2531,True
2532,False
2533,False
2534,True
2535,False
2536,False
2537,False
2538,False
2539,False
2540,False
2541,True
2542,False
2543,False
2544,False
2545,False
2546,False
2547,False
2548,True
2549,False
2550,False
2551,True
2552,True
2553,False
2554,True
2555,False
2556,True
2557,False
2558,False
2559,False
2560,False
2561,True
2562,True
2563,True
2564,True
2565,False
2566,True
2567,True
2568,True
2569,False
2570,False
2571,False
2572,False
2573,False
2574,True
2575,False
2576,False
2577,True
2578,True
2579,False
2580,False
2581,True
2582,False
2583,False
2584,False
2585,False
2586,False
2587,False
2588,False
2589,True
2590,False
2591,False
2592,False
2593,False
2594,False
2595,False
2596,False
2597,False
2598,False
2599,False
2600,False
2601,True
2602,True
2603,False
2604,True
2605,False
2606,True
2607,False
2608,True
2609,True
2610,True
2611,False
2612,False
2613,False
2614,False
2615,True
2616,False
2617,False
2618,False
2619,True
2620,False
2621,False
2622,False
2623,False
2624,False
2625,True
2626,False
2627,False
2628,False
2629,False
2630,True
2631,True
2632,False
2633,True
2634,False
2635,False
2636,False
2637,False
2638,False
2639,True
2640,True
2641,False
2642,True
2643,False
2644,False
2645,False
2646,False
2647,False
2648,False
2649,False
2650,True
2651,False
2652,False
2653,True
2654,False
2655,False
2656,False
2657,False
2658,False
2659,True
2660,True
2661,True
2662,False
2663,True
2664,False
2665,True
2666,False
2667,False
2668,False
2669,False
2670,False
2671,True
2672,False
2673,False
2674,False
2675,False
2676,False
2677,True
2678,False
2679,False
2680,True
2681,False
2682,False
2683,True
2684,False
2685,False
2686,False
2687,False
2688,True
2689,False
2690,False
2691,False
2692,True
2693,False
2694,True
2695,False
2696,False
2697,True
2698,True
2699,False
2700,True
2701,False
2702,False
2703,False
2704,False
2705,False
2706,True
2707,False
2708,True
2709,True
2710,False
2711,True
2712,True
2713,False
2714,True
2715,True
2716,False
2717,False
2718,False
2719,False
2720,True
2721,False
2722,False
2723,True
2724,False
2725,False
2726,True
2727,False
2728,False
2729,False
2730,True
2731,True
2732,False
2733,False
2734,True
2735,False
2736,False
2737,False
2738,False
2739,True
2740,True
2741,False
2742,False
2743,False
2744,False
2745,False
2746,False
2747,False
2748,True
2749,True
2750,False
2751,False
2752,False
2753,True
2754,True
2755,True
2756,False
2757,True
2758,True
2759,False
2760,False
2761,False
2762,False
2763,False
2764,False
2765,True
2766,False
2767,True
2768,False
2769,False
2770,True
2771,True
2772,True
2773,True
2774,False
2775,False
2776,False
2777,True
2778,True
2779,True
2780,False
2781,True
2782,False
2783,False
2784,False
2785,True
2786,False
2787,False
2788,False
2789,False
2790,False
2791,False
2792,False
2793,False
2794,False
2795,False
2796,False
2797,True
2798,True
2799,False
2800,False
2801,False
2802,False
2803,False
2804,False
2805,True
2806,False
2807,False
2808,True
2809,False
2810,False
2811,True
2812,False
2813,False
2814,False
2815,False
2816,False
2817,False
2818,False
2819,False
2820,False
2821,True
2822,False
2823,True
2824,False
2825,False
2826,True
2827,True
2828,False
2829,False
2830,True
2831,True
2832,False
2833,False
2834,False
2835,False
2836,False
2837,False
2838,True
2839,True
2840,True
2841,True
2842,False
2843,True
2844,True
2845,False
2846,True
2847,False
2848,True
2849,True
2850,False
2851,True
2852,False
2853,False
2854,True
2855,False
2856,False
2857,True
2858,True
2859,False
2860,False
2861,False
2862,False
2863,True
2864,False
2865,False
2866,False
2867,True
2868,False
2869,False
2870,True
2871,True
2872,True
2873,False
2874,False
2875,False
2876,True
2877,False
2878,True
2879,True
2880,True
2881,False
2882,True
2883,False
2884,True
2885,True
2886,False
2887,False
2888,False
2889,False
2890,False
2891,False
2892,False
2893,False
2894,True
2895,False
2896,False
2897,True
2898,False
2899,False
2900,False
2901,True
2902,True
2903,False
2904,False
2905,False
2906,False
2907,False
2908,False
2909,False
2910,True
2911,False
2912,False
2913,False
2914,True
2915,False
2916,False
2917,False
2918,False
2919,False
2920,True
2921,False
2922,False
2923,True
2924,True
2925,False
2926,False
2927,True
2928,True
2929,False
2930,False
2931,False
2932,False
2933,True
2934,False
2935,False
2936,False
2937,False
2938,False
2939,False
2940,False
2941,False
2942,True
2943,True
2944,False
2945,False
2946,False
2947,False
2948,False
2949,False
2950,True
2951,True
2952,True
2953,True
2954,False
2955,True
2956,False
2957,True
2958,False
2959,False
2960,False
2961,False
2962,True
2963,False
2964,True
2965,True
2966,False
2967,True
2968,True
2969,False
2970,False
2971,False
2972,False
2973,False
2974,False
2975,False
2976,False
2977,False
2978,True
2979,False
2980,False
2981,False
2982,False
2983,False
2984,False
2985,True
2986,False
2987,False
2988,False
2989,True
2990,False
2991,False
2992,False
2993,False
2994,False
2995,True
2996,True
2997,False
